| Rank | Ticker | Company Name                 | Current Price | 20D MA  | 50D MA  | 100D MA | 200D MA |
|------|--------|------------------------------|---------------|--------|--------|--------|--------|
| 1    | A      | Agilent Technologies         | $121.03         | $131.32  | $138.89  | $137.25  | $137.30  |
| 2    | AAPL   | Apple Inc                    | $220.84         | $239.12  | $237.46  | $236.69  | $227.41  |
| 3    | ABBV   | Abbvie Inc                   | $213.59         | $203.95  | $188.96  | $185.55  | $183.77  |
| 4    | ABNB   | Airbnb Inc Cl A              | $125.44         | $142.90  | $136.29  | $135.96  | $135.16  |
| 5    | ABT    | Abbott Laboratories          | $132.66         | $134.65  | $125.93  | $120.91  | $114.83  |
| 6    | ACGL   | Arch Capital Grp Ltd         | $90.09          | $90.21   | $91.91   | $95.61   | $99.84   |
| 7    | ACN    | Accenture Plc                | $327.79         | $363.00  | $364.36  | $362.35  | $342.73  |
| 8    | ADBE   | Adobe Systems Inc            | $433.66         | $448.35  | $439.79  | $468.85  | $498.47  |
| 9    | ADI    | Analog Devices               | $209.08         | $224.76  | $218.36  | $219.11  | $223.38  |
| 10   | ADM    | Archer Daniels Midland       | $48.64          | $47.15   | $48.87   | $51.22   | $55.95   |
| 11   | ADP    | Automatic Data Procs         | $292.44         | $309.35  | $302.08  | $299.84  | $279.78  |
| 12   | ADSK   | Autodesk Inc                 | $250.85         | $280.56  | $291.43  | $295.46  | $271.14  |
| 13   | AEE    | Ameren Corp                  | $97.87          | $98.88   | $94.98   | $92.51   | $85.51   |
| 14   | AEP    | American Electric Power Comp | $104.43         | $104.47  | $99.46   | $98.04   | $96.72   |
| 15   | AES    | The Aes Corp                 | $11.99          | $10.78   | $11.37   | $12.88   | $15.61   |
| 16   | AFL    | Aflac Inc                    | $106.27         | $105.87  | $105.15  | $106.93  | $103.14  |
| 17   | AIG    | American International Group | $81.63          | $78.78   | $75.68   | $75.55   | $75.24   |
| 18   | AIZ    | Assurant Inc                 | $204.06         | $205.22  | $208.81  | $209.62  | $194.81  |
| 19   | AJG    | Arthur J. Gallagher & Compan | $325.75         | $329.59  | $308.64  | $300.27  | $288.13  |
| 20   | AKAM   | Akamai Technologies          | $80.65          | $87.57   | $92.65   | $95.04   | $95.55   |
| 21   | ALB    | Albemarle Corp               | $72.67          | $77.70   | $83.40   | $91.98   | $93.82   |
| 22   | ALGN   | Align Technology             | $165.14         | $187.74  | $206.03  | $214.19  | $226.97  |
| 23   | ALL    | Allstate Corp                | $201.58         | $193.78  | $191.34  | $193.44  | $184.02  |
| 24   | ALLE   | Allegion Plc                 | $125.96         | $128.68  | $129.96  | $135.63  | $132.88  |
| 25   | AMAT   | Applied Materials            | $146.99         | $164.67  | $172.57  | $175.38  | $193.09  |
| 26   | AMCR   | Amcor Plc                    | $10.00          | $10.14   | $9.86    | $10.12   | $10.31   |
| 27   | AMD    | Adv Micro Devices            | $96.76          | $105.55  | $113.72  | $127.36  | $141.74  |
| 28   | AME    | Ametek Inc                   | $178.86         | $185.29  | $183.44  | $184.13  | $175.98  |
| 29   | AMGN   | Amgen Inc                    | $318.89         | $307.10  | $287.82  | $291.25  | $306.17  |
| 30   | AMP    | Ameriprise Financial Service | $478.05         | $522.54  | $534.30  | $538.54  | $488.64  |
| 31   | AMT    | American Tower Corp          | $209.78         | $199.90  | $190.50  | $198.11  | $206.38  |
| 32   | AMZN   | Amazon.com Inc               | $196.59         | $214.13  | $223.02  | $215.03  | $199.15  |
| 33   | ANET   | Arista Networks Inc          | $79.13          | $95.50   | $107.59  | $105.12  | $95.74   |
| 34   | ANSS   | Ansys Inc                    | $320.36         | $331.49  | $339.47  | $338.62  | $329.20  |
| 35   | AON    | AON Plc                      | $399.74         | $397.02  | $378.38  | $374.96  | $347.27  |
| 36   | AOS    | Smith A.O. Corp              | $67.11          | $66.70   | $67.93   | $71.06   | $77.10   |
| 37   | APA    | Apa Corp                     | $19.20          | $21.25   | $22.43   | $22.63   | $25.41   |
| 38   | APD    | Air Products and Chemicals   | $298.08         | $311.76  | $311.21  | $314.51  | $295.10  |
| 39   | APH    | Amphenol Corp                | $61.64          | $66.17   | $69.05   | $70.11   | $67.76   |
| 40   | APO    | Apollo Asset Management Inc  | $130.42         | $147.50  | $158.77  | $160.41  | $139.06  |
| 41   | APTV   | Aptiv Plc                    | $63.19          | $65.64   | $63.31   | $61.38   | $66.60   |
| 42   | ARE    | Alexandria Real Estate Equit | $99.27          | $98.57   | $98.25   | $103.78  | $110.96  |
| 43   | ATO    | Atmos Energy Corp            | $148.66         | $148.88  | $144.16  | $143.65  | $134.90  |
| 44   | AVB    | Avalonbay Communities        | $212.94         | $220.31  | $218.92  | $223.11  | $217.52  |
| 45   | AVGO   | Broadcom Ltd                 | $190.09         | $208.95  | $220.88  | $201.49  | $180.61  |
| 46   | AVY    | Avery Dennison Corp          | $180.15         | $183.71  | $186.07  | $194.50  | $206.55  |
| 47   | AWK    | American Water Works         | $143.43         | $134.39  | $128.12  | $131.39  | $134.91  |
| 48   | AXON   | Axon Enterprise Inc          | $526.64         | $566.02  | $596.01  | $579.57  | $458.63  |
| 49   | AXP    | American Express Company     | $255.39         | $293.27  | $303.45  | $296.39  | $271.67  |
| 50   | AZO    | Autozone                     | $3562.76        | $3475.59 | $3376.42 | $3275.44 | $3145.76 |
| 51   | BA     | Boeing Company               | $154.06         | $172.62  | $174.16  | $165.18  | $168.53  |
| 52   | BAC    | Bank of America Corp         | $39.61          | $44.22   | $45.30   | $45.02   | $42.48   |
| 53   | BALL   | Ball Corporation             | $52.31          | $51.33   | $53.01   | $56.97   | $60.65   |
| 54   | BAX    | Baxter International Inc     | $35.85          | $33.84   | $32.06   | $32.76   | $34.34   |
| 55   | BBY    | Best Buy Company             | $74.82          | $85.74   | $85.35   | $87.74   | $88.60   |
| 56   | BDX    | Becton Dickinson and Company | $224.92         | $226.75  | $232.68  | $231.20  | $232.92  |
| 57   | BEN    | Franklin Resources           | $19.62          | $20.21   | $20.17   | $20.77   | $21.24   |
| 58   | BF.B   | Brown Forman Inc Cl B        | $36.03          | $33.15   | $33.85   | $38.77   | $41.90   |
| 59   | BG     | Bunge Ltd                    | $74.41          | $72.42   | $75.20   | $80.95   | $91.75   |
| 60   | BIIB   | Biogen Inc                   | $143.66         | $141.27  | $144.26  | $155.34  | $183.36  |
| 61   | BK     | Bank of New York Mellon Corp | $81.05          | $86.52   | $83.75   | $80.95   | $72.83   |
| 62   | BKNG   | Booking Holdings Inc         | $4353.41        | $4910.86 | $4855.11 | $4881.14 | $4380.44 |
| 63   | BKR    | Baker Hughes Company         | $41.85          | $44.47   | $44.56   | $42.70   | $38.72   |
| 64   | BLDR   | Builders Firstsource         | $130.00         | $141.04  | $150.44  | $163.29  | $163.93  |
| 65   | BLK    | Blackrock Inc                | $910.37         | $962.49  | $993.44  | $1009.01 | $930.55  |
| 66   | BMY    | Bristol-Myers Squibb Company | $61.51          | $57.99   | $57.71   | $57.03   | $51.58   |
| 67   | BR     | Broadridge Financial Solutio | $226.33         | $238.58  | $235.05  | $230.13  | $218.67  |
| 68   | BRK.B  | Berkshire Hathaway Cl B      | $496.25         | $491.57  | $473.44  | $468.35  | $451.71  |
| 69   | BRO    | Brown & Brown                | $117.96         | $114.87  | $108.60  | $108.05  | $102.81  |
| 70   | BSX    | Boston Scientific Corp       | $95.52          | $102.94  | $100.07  | $94.22   | $86.53   |
| 71   | BWA    | Borgwarner Inc               | $29.24          | $29.56   | $30.88   | $32.44   | $32.96   |
| 72   | BX     | Blackstone Inc               | $138.14         | $156.44  | $168.06  | $173.47  | $154.53  |
| 73   | BXP    | Bxp Inc                      | $65.57          | $69.27   | $71.17   | $76.37   | $73.01   |
| 74   | C      | Citigroup Inc                | $67.50          | $77.58   | $77.28   | $72.61   | $67.25   |
| 75   | CAG    | Conagra Brands Inc           | $26.71          | $25.58   | $25.90   | $27.04   | $28.62   |
| 76   | CAH    | Cardinal Health              | $124.17         | $126.99  | $125.44  | $121.49  | $112.75  |
| 77   | CARR   | Carrier Global Corp          | $65.65          | $65.39   | $66.69   | $70.78   | $69.99   |
| 78   | CAT    | Caterpillar Inc              | $339.77         | $344.94  | $362.10  | $375.18  | $361.08  |
| 79   | CB     | Chubb Ltd                    | $290.70         | $277.11  | $273.27  | $278.67  | $275.68  |
| 80   | CBOE   | CBOE Global Markets Inc      | $211.16         | $210.27  | $203.82  | $205.04  | $198.34  |
| 81   | CBRE   | CBRE Group Inc               | $125.83         | $138.58  | $137.34  | $135.06  | $119.92  |
| 82   | CCI    | Crown Castle Inc             | $97.63          | $92.98   | $90.63   | $97.32   | $102.42  |
| 83   | CCL    | Carnival Corp                | $19.10          | $23.47   | $24.82   | $24.49   | $20.73   |
| 84   | CDNS   | Cadence Design Sys           | $234.25         | $261.47  | $286.22  | $289.78  | $286.29  |
| 85   | CDW    | CDW Corp                     | $166.05         | $180.91  | $185.32  | $187.84  | $205.43  |
| 86   | CE     | Celanese Corp                | $54.61          | $56.36   | $64.44   | $77.52   | $106.31  |
| 87   | CEG    | Constellation Energy Corp    | $208.58         | $266.20  | $279.35  | $263.07  | $236.69  |
| 88   | CF     | Cf Industries Holdings       | $76.83          | $79.35   | $85.87   | $86.12   | $82.15   |
| 89   | CFG    | Citizens Financial Group Inc | $39.91          | $44.57   | $45.53   | $45.19   | $42.10   |
| 90   | CHD    | Church & Dwight Company      | $112.19         | $108.53  | $106.62  | $106.45  | $105.00  |
| 91   | CHRW   | C.H. Robinson Ww             | $98.05          | $99.55   | $101.62  | $104.72  | $100.06  |
| 92   | CHTR   | Charter Communications Inc   | $355.87         | $364.19  | $355.33  | $362.39  | $341.70  |
| 93   | CI     | The Cigna Group              | $317.87         | $305.75  | $294.32  | $305.51  | $323.93  |
| 94   | CINF   | Cincinnati Financial         | $140.13         | $139.70  | $139.65  | $143.93  | $135.16  |
| 95   | CL     | Colgate-Palmolive Company    | $94.10          | $90.51   | $89.28   | $92.01   | $95.97   |
| 96   | CLX    | Clorox Company               | $148.43         | $151.68  | $155.50  | $159.81  | $152.71  |
| 97   | CMCSA  | Comcast Corp A               | $35.95          | $35.89   | $36.15   | $39.01   | $39.20   |
| 98   | CME    | CME Group Inc                | $260.43         | $251.35  | $241.18  | $236.10  | $221.50  |
| 99   | CMG    | Chipotle Mexican Grill       | $49.98          | $53.40   | $56.25   | $58.50   | $58.13   |
| 100  | CMI    | Cummins Inc                  | $329.40         | $360.93  | $360.19  | $357.79  | $326.26  |
| 101  | CMS    | Cms Energy Corp              | $72.08          | $71.67   | $68.66   | $68.67   | $66.72   |
| 102  | CNC    | Centene Corp                 | $58.57          | $58.19   | $60.74   | $60.63   | $66.47   |
| 103  | CNP    | Centerpoint Energy Inc       | $34.53          | $33.85   | $32.81   | $31.85   | $30.33   |
| 104  | COF    | Capital One Financial Corp   | $165.40         | $192.36  | $192.28  | $184.66  | $163.23  |
| 105  | COO    | Cooper Companies             | $81.03          | $89.01   | $91.99   | $96.84   | $96.94   |
| 106  | COP    | Conocophillips               | $95.41          | $95.92   | $99.14   | $102.47  | $106.72  |
| 107  | COR    | Cencora Inc                  | $260.67         | $249.40  | $244.91  | $241.76  | $236.15  |
| 108  | COST   | Costco Wholesale             | $930.49         | $1032.07 | $987.75  | $961.77  | $911.79  |
| 109  | CPAY   | Corpay Inc                   | $324.66         | $360.72  | $363.40  | $360.03  | $324.59  |
| 110  | CPB    | The Campbell's Company       | $39.96          | $39.86   | $39.53   | $42.25   | $44.84   |
| 111  | CPRT   | Copart Inc                   | $52.91          | $56.40   | $57.01   | $57.22   | $54.91   |
| 112  | CPT    | Camden Property Trust        | $120.48         | $121.30  | $116.68  | $118.31  | $116.88  |
| 113  | CRL    | Charles River Laboratories I | $166.63         | $163.84  | $169.65  | $181.62  | $194.38  |
| 114  | CRM    | Salesforce Inc               | $277.05         | $304.71  | $322.12  | $323.28  | $289.79  |
| 115  | CRWD   | Crowdstrike Holdings Inc     | $329.75         | $395.71  | $384.05  | $361.16  | $333.18  |
| 116  | CSCO   | Cisco Systems Inc            | $60.67          | $63.60   | $61.61   | $59.66   | $54.09   |
| 117  | CSGP   | Costar Group Inc             | $76.87          | $76.56   | $74.95   | $75.42   | $75.78   |
| 118  | CSX    | CSX Corp                     | $29.52          | $31.98   | $32.37   | $33.40   | $33.58   |
| 119  | CTAS   | Cintas Corp                  | $196.56         | $204.25  | $198.66  | $205.88  | $197.52  |
| 120  | CTRA   | Coterra Energy Inc           | $26.88          | $27.22   | $27.49   | $26.20   | $25.78   |
| 121  | CTSH   | Cognizant Tech Sol           | $82.47          | $85.57   | $82.06   | $80.36   | $76.52   |
| 122  | CTVA   | Corteva Inc                  | $59.97          | $62.19   | $61.56   | $60.59   | $57.62   |
| 123  | CVS    | CVS Corp                     | $64.98          | $64.43   | $56.62   | $55.94   | $57.59   |
| 124  | CVX    | Chevron Corp                 | $154.08         | $155.71  | $153.86  | $154.08  | $152.53  |
| 125  | CZR    | Caesars Entertainment Inc    | $27.84          | $33.82   | $34.02   | $36.64   | $37.23   |
| 126  | D      | Dominion Energy Inc          | $55.14          | $55.97   | $55.05   | $56.16   | $55.10   |
| 127  | DAL    | Delta Air Lines Inc          | $46.68          | $59.68   | $63.05   | $61.85   | $53.87   |
| 128  | DAY    | Dayforce Inc                 | $53.72          | $61.85   | $67.10   | $70.84   | $62.86   |
| 129  | DD     | Dupont Denemours Inc         | $76.32          | $80.78   | $78.08   | $80.35   | $80.93   |
| 130  | DE     | Deere & Company              | $475.50         | $482.22  | $462.31  | $442.76  | $411.05  |
| 131  | DECK   | Deckers Outdoor Corp         | $120.53         | $142.15  | $177.36  | $180.14  | $169.04  |
